0,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,1,0,3,"Braund, Mr. Owen Harris",male,22,1,0,A/5 21171,7.25,,S
2,3,1,3,"Heikkinen, Miss. Laina",female,26,0,0,STON/O2. 3101282,7.925,,S
3,4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35,1,0,113803,53.1,C123,S
4,5,0,3,"Allen, Mr. William Henry",male,35,0,0,373450,8.05,,S
5,7,0,1,"McCarthy, Mr. Timothy J",male,54,0,0,17463,51.8625,E46,S
6,10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14,1,0,237736,30.0708,,C
7,12,1,1,"Bonnell, Miss. Elizabeth",female,58,0,0,113783,26.55,C103,S
8,13,0,3,"Saundercock, Mr. William Henry",male,20,0,0,A/5. 2151,8.05,,S
9,14,0,3,"Andersson, Mr. Anders Johan",male,39,1,5,347082,31.275,,S
10,15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14,0,0,350406,7.8542,,S
11,18,1,2,"Williams, Mr. Charles Eugene",male,,0,0,244373,13,,S
12,19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31,1,0,345763,18,,S
13,20,1,3,"Masselmani, Mrs. Fatima",female,,0,0,2649,7.225,,C
14,21,0,2,"Fynney, Mr. Joseph J",male,35,0,0,239865,26,,S
15,24,1,1,"Sloper, Mr. William Thompson",male,28,0,0,113788,35.5,A6,S
16,25,0,3,"Palsson, Miss. Torborg Danira",female,8,3,1,349909,21.075,,S
17,26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38,1,5,347077,31.3875,,S
18,28,0,1,"Fortune, Mr. Charles Alexander",male,19,3,2,19950,263,C23 C25 C27,S
19,29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,,0,0,330959,7.8792,,Q
20,30,0,3,"Todoroff, Mr. Lalio",male,,0,0,349216,7.8958,,S
21,31,0,1,"Uruchurtu, Don. Manuel E",male,40,0,0,PC 17601,27.7208,,C
22,32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,,1,0,PC 17569,146.5208,B78,C
23,33,1,3,"Glynn, Miss. Mary Agatha",female,,0,0,335677,7.75,,Q
24,34,0,2,"Wheadon, Mr. Edward H",male,66,0,0,C.A. 24579,10.5,,S
25,35,0,1,"Meyer, Mr. Edgar Joseph",male,28,1,0,PC 17604,82.1708,,C
26,36,0,1,"Holverson, Mr. Alexander Oskar",male,42,1,0,113789,52,,S
27,38,0,3,"Cann, Mr. Ernest Charles",male,21,0,0,A./5. 2152,8.05,,S
28,39,0,3,"Vander Planke, Miss. Augusta Maria",female,18,2,0,345764,18,,S
29,40,1,3,"Nicola-Yarred, Miss. Jamila",female,14,1,0,2651,11.2417,,C
30,42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27,1,0,11668,21,,S
31,43,0,3,"Kraeff, Mr. Theodor",male,,0,0,349253,7.8958,,C
32,46,0,3,"Rogers, Mr. William John",male,,0,0,S.C./A.4. 23567,8.05,,S
33,47,0,3,"Lennon, Mr. Denis",male,,1,0,370371,15.5,,Q
34,48,1,3,"O'Driscoll, Miss. Bridget",female,,0,0,14311,7.75,,Q
35,49,0,3,"Samaan, Mr. Youssef",male,,2,0,2662,21.6792,,C
36,53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49,1,0,PC 17572,76.7292,D33,C
37,54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29,1,0,2926,26,,S
38,55,0,1,"Ostby, Mr. Engelhart Cornelius",male,65,0,1,113509,61.9792,B30,C
39,57,1,2,"Rugg, Miss. Emily",female,21,0,0,C.A. 31026,10.5,,S
40,58,0,3,"Novel, Mr. Mansouer",male,28.5,0,0,2697,7.2292,,C
41,59,1,2,"West, Miss. Constance Mirium",female,5,1,2,C.A. 34651,27.75,,S
42,60,0,3,"Goodwin, Master. William Frederick",male,11,5,2,CA 2144,46.9,,S
43,61,0,3,"Sirayanian, Mr. Orsen",male,22,0,0,2669,7.2292,,C
44,62,1,1,"Icard, Miss. Amelie",female,38,0,0,113572,80,B28,
45,66,1,3,"Moubarek, Master. Gerios",male,,1,1,2661,15.2458,,C
46,67,1,2,"Nye, Mrs. (Elizabeth Ramell)",female,29,0,0,C.A. 29395,10.5,F33,S
47,68,0,3,"Crease, Mr. Ernest James",male,19,0,0,S.P. 3464,8.1583,,S
48,71,0,2,"Jenkin, Mr. Stephen Curnow",male,32,0,0,C.A. 33111,10.5,,S
49,74,0,3,"Chronopoulos, Mr. Apostolos",male,26,1,0,2680,14.4542,,C
50,75,1,3,"Bing, Mr. Lee",male,32,0,0,1601,56.4958,,S
51,76,0,3,"Moen, Mr. Sigurd Hansen",male,25,0,0,348123,7.65,F G73,S
52,77,0,3,"Staneff, Mr. Ivan",male,,0,0,349208,7.8958,,S
53,78,0,3,"Moutal, Mr. Rahamin Haim",male,,0,0,374746,8.05,,S
54,79,1,2,"Caldwell, Master. Alden Gates",male,0.83,0,2,248738,29,,S
55,81,0,3,"Waelens, Mr. Achille",male,22,0,0,345767,9,,S
56,82,1,3,"Sheerlinck, Mr. Jan Baptist",male,29,0,0,345779,9.5,,S
57,83,1,3,"McDermott, Miss. Brigdet Delia",female,,0,0,330932,7.7875,,Q
58,85,1,2,"Ilett, Miss. Bertha",female,17,0,0,SO/C 14885,10.5,,S
59,88,0,3,"Slocovski, Mr. Selman Francis",male,,0,0,SOTON/OQ 392086,8.05,,S
60,89,1,1,"Fortune, Miss. Mabel Helen",female,23,3,2,19950,263,C23 C25 C27,S
61,91,0,3,"Christmann, Mr. Emil",male,29,0,0,343276,8.05,,S
62,92,0,3,"Andreasson, Mr. Paul Edvin",male,20,0,0,347466,7.8542,,S
63,93,0,1,"Chaffee, Mr. Herbert Fuller",male,46,1,0,W.E.P. 5734,61.175,E31,S
64,95,0,3,"Coxon, Mr. Daniel",male,59,0,0,364500,7.25,,S
65,96,0,3,"Shorney, Mr. Charles Joseph",male,,0,0,374910,8.05,,S
66,100,0,2,"Kantor, Mr. Sinai",male,34,1,0,244367,26,,S
67,101,0,3,"Petranec, Miss. Matilda",female,28,0,0,349245,7.8958,,S
68,102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",male,,0,0,349215,7.8958,,S
69,103,0,1,"White, Mr. Richard Frasar",male,21,0,1,35281,77.2875,D26,S
70,105,0,3,"Gustafsson, Mr. Anders Vilhelm",male,37,2,0,3101276,7.925,,S
71,107,1,3,"Salkjelsvik, Miss. Anna Kristine",female,21,0,0,343120,7.65,,S
72,110,1,3,"Moran, Miss. Bertha",female,,1,0,371110,24.15,,Q
73,111,0,1,"Porter, Mr. Walter Chamberlain",male,47,0,0,110465,52,C110,S
74,112,0,3,"Zabour, Miss. Hileni",female,14.5,1,0,2665,14.4542,,C
75,113,0,3,"Barton, Mr. David John",male,22,0,0,324669,8.05,,S
76,116,0,3,"Pekoniemi, Mr. Edvard",male,21,0,0,STON/O 2. 3101294,7.925,,S
77,117,0,3,"Connors, Mr. Patrick",male,70.5,0,0,370369,7.75,,Q
78,118,0,2,"Turpin, Mr. William John Robert",male,29,1,0,11668,21,,S
79,120,0,3,"Andersson, Miss. Ellis Anna Maria",female,2,4,2,347082,31.275,,S
80,121,0,2,"Hickman, Mr. Stanley George",male,21,2,0,S.O.C. 14879,73.5,,S
81,123,0,2,"Nasser, Mr. Nicholas",male,32.5,1,0,237736,30.0708,,C
82,124,1,2,"Webber, Miss. Susan",female,32.5,0,0,27267,13,E101,S
83,125,0,1,"White, Mr. Percival Wayland",male,54,0,1,35281,77.2875,D26,S
84,126,1,3,"Nicola-Yarred, Master. Elias",male,12,1,0,2651,11.2417,,C
85,129,1,3,"Peter, Miss. Anna",female,,1,1,2668,22.3583,F E69,C
86,130,0,3,"Ekstrom, Mr. Johan",male,45,0,0,347061,6.975,,S
87,132,0,3,"Coelho, Mr. Domingos Fernandeo",male,20,0,0,SOTON/O.Q. 3101307,7.05,,S
88,133,0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47,1,0,A/5. 3337,14.5,,S
89,134,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29,1,0,228414,26,,S
90,135,0,2,"Sobey, Mr. Samuel James Hayden",male,25,0,0,C.A. 29178,13,,S
91,136,0,2,"Richard, Mr. Emile",male,23,0,0,SC/PARIS 2133,15.0458,,C
92,139,0,3,"Osen, Mr. Olaf Elon",male,16,0,0,7534,9.2167,,S
93,141,0,3,"Boulos, Mrs. Joseph (Sultana)",female,,0,2,2678,15.2458,,C
94,143,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24,1,0,STON/O2. 3101279,15.85,,S
95,144,0,3,"Burke, Mr. Jeremiah",male,19,0,0,365222,6.75,,Q
96,145,0,2,"Andrew, Mr. Edgardo Samuel",male,18,0,0,231945,11.5,,S
97,146,0,2,"Nicholls, Mr. Joseph Charles",male,19,1,1,C.A. 33112,36.75,,S
98,147,1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27,0,0,350043,7.7958,,S
99,148,0,3,"Ford, Miss. Robina Maggie ""Ruby""",female,9,2,2,W./C. 6608,34.375,,S
100,149,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5,0,2,230080,26,F2,S
101,150,0,2,"Byles, Rev. Thomas Roussel Davids",male,42,0,0,244310,13,,S
102,152,1,1,"Pears, Mrs. Thomas (Edith Wearne)",female,22,1,0,113776,66.6,C2,S
103,154,0,3,"van Billiard, Mr. Austin Blyler",male,40.5,0,2,A/5. 851,14.5,,S
104,156,0,1,"Williams, Mr. Charles Duane",male,51,0,1,PC 17597,61.3792,,C
105,157,1,3,"Gilnagh, Miss. Katherine ""Katie""",female,16,0,0,35851,7.7333,,Q
106,158,0,3,"Corn, Mr. Harry",male,30,0,0,SOTON/OQ 392090,8.05,,S
107,159,0,3,"Smiljanic, Mr. Mile",male,,0,0,315037,8.6625,,S
108,160,0,3,"Sage, Master. Thomas Henry",male,,8,2,CA. 2343,69.55,,S
109,163,0,3,"Bengtsson, Mr. John Viktor",male,26,0,0,347068,7.775,,S
110,164,0,3,"Calic, Mr. Jovo",male,17,0,0,315093,8.6625,,S
111,166,1,3,"Goldsmith, Master. Frank John William ""Frankie""",male,9,0,2,363291,20.525,,S
112,167,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",female,,0,1,113505,55,E33,S
113,168,0,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45,1,4,347088,27.9,,S
114,170,0,3,"Ling, Mr. Lee",male,28,0,0,1601,56.4958,,S
115,171,0,1,"Van der hoef, Mr. Wyckoff",male,61,0,0,111240,33.5,B19,S
116,172,0,3,"Rice, Master. Arthur",male,4,4,1,382652,29.125,,Q
117,174,0,3,"Sivola, Mr. Antti Wilhelm",male,21,0,0,STON/O 2. 3101280,7.925,,S
118,175,0,1,"Smith, Mr. James Clinch",male,56,0,0,17764,30.6958,A7,C
119,179,0,2,"Hale, Mr. Reginald",male,30,0,0,250653,13,,S
120,180,0,3,"Leonard, Mr. Lionel",male,36,0,0,LINE,0,,S
121,181,0,3,"Sage, Miss. Constance Gladys",female,,8,2,CA. 2343,69.55,,S
122,182,0,2,"Pernot, Mr. Rene",male,,0,0,SC/PARIS 2131,15.05,,C
123,183,0,3,"Asplund, Master. Clarence Gustaf Hugo",male,9,4,2,347077,31.3875,,S
124,184,1,2,"Becker, Master. Richard F",male,1,2,1,230136,39,F4,S
125,185,1,3,"Kink-Heilmann, Miss. Luise Gretchen",female,4,0,2,315153,22.025,,S
126,186,0,1,"Rood, Mr. Hugh Roscoe",male,,0,0,113767,50,A32,S
127,187,1,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,,1,0,370365,15.5,,Q
128,189,0,3,"Bourke, Mr. John",male,40,1,1,364849,15.5,,Q
129,190,0,3,"Turcin, Mr. Stjepan",male,36,0,0,349247,7.8958,,S
130,191,1,2,"Pinsky, Mrs. (Rosa)",female,32,0,0,234604,13,,S
131,192,0,2,"Carbines, Mr. William",male,19,0,0,28424,13,,S
132,195,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44,0,0,PC 17610,27.7208,B4,C
133,196,1,1,"Lurette, Miss. Elise",female,58,0,0,PC 17569,146.5208,B80,C
134,197,0,3,"Mernagh, Mr. Robert",male,,0,0,368703,7.75,,Q
135,198,0,3,"Olsen, Mr. Karl Siegwart Andreas",male,42,0,1,4579,8.4042,,S
136,199,1,3,"Madigan, Miss. Margaret ""Maggie""",female,,0,0,370370,7.75,,Q
137,201,0,3,"Vande Walle, Mr. Nestor Cyriel",male,28,0,0,345770,9.5,,S
138,202,0,3,"Sage, Mr. Frederick",male,,8,2,CA. 2343,69.55,,S
139,204,0,3,"Youseff, Mr. Gerious",male,45.5,0,0,2628,7.225,,C
140,205,1,3,"Cohen, Mr. Gurshon ""Gus""",male,18,0,0,A/5 3540,8.05,,S
141,206,0,3,"Strom, Miss. Telma Matilda",female,2,0,1,347054,10.4625,G6,S
142,207,0,3,"Backstrom, Mr. Karl Alfred",male,32,1,0,3101278,15.85,,S
143,211,0,3,"Ali, Mr. Ahmed",male,24,0,0,SOTON/O.Q. 3101311,7.05,,S
144,212,1,2,"Cameron, Miss. Clear Annie",female,35,0,0,F.C.C. 13528,21,,S
145,213,0,3,"Perkin, Mr. John Henry",male,22,0,0,A/5 21174,7.25,,S
146,214,0,2,"Givard, Mr. Hans Kristensen",male,30,0,0,250646,13,,S
147,215,0,3,"Kiernan, Mr. Philip",male,,1,0,367229,7.75,,Q
148,216,1,1,"Newell, Miss. Madeleine",female,31,1,0,35273,113.275,D36,C
149,217,1,3,"Honkanen, Miss. Eliina",female,27,0,0,STON/O2. 3101283,7.925,,S
150,219,1,1,"Bazzani, Miss. Albina",female,32,0,0,11813,76.2917,D15,C
151,220,0,2,"Harris, Mr. Walter",male,30,0,0,W/C 14208,10.5,,S
152,221,1,3,"Sunderland, Mr. Victor Francis",male,16,0,0,SOTON/OQ 392089,8.05,,S
153,222,0,2,"Bracken, Mr. James H",male,27,0,0,220367,13,,S
154,223,0,3,"Green, Mr. George Henry",male,51,0,0,21440,8.05,,S
155,224,0,3,"Nenkoff, Mr. Christo",male,,0,0,349234,7.8958,,S
156,226,0,3,"Berglund, Mr. Karl Ivar Sven",male,22,0,0,PP 4348,9.35,,S
157,227,1,2,"Mellors, Mr. William John",male,19,0,0,SW/PP 751,10.5,,S
158,229,0,2,"Fahlstrom, Mr. Arne Jonas",male,18,0,0,236171,13,,S
159,231,1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35,1,0,36973,83.475,C83,S
160,232,0,3,"Larsson, Mr. Bengt Edvin",male,29,0,0,347067,7.775,,S
161,233,0,2,"Sjostedt, Mr. Ernst Adolf",male,59,0,0,237442,13.5,,S
162,234,1,3,"Asplund, Miss. Lillian Gertrud",female,5,4,2,347077,31.3875,,S
163,235,0,2,"Leyson, Mr. Robert William Norman",male,24,0,0,C.A. 29566,10.5,,S
164,236,0,3,"Harknett, Miss. Alice Phoebe",female,,0,0,W./C. 6609,7.55,,S
165,239,0,2,"Pengelly, Mr. Frederick William",male,19,0,0,28665,10.5,,S
166,243,0,2,"Coleridge, Mr. Reginald Charles",male,29,0,0,W./C. 14263,10.5,,S
167,244,0,3,"Maenpaa, Mr. Matti Alexanteri",male,22,0,0,STON/O 2. 3101275,7.125,,S
168,245,0,3,"Attalah, Mr. Sleiman",male,30,0,0,2694,7.225,,C
169,246,0,1,"Minahan, Dr. William Edward",male,44,2,0,19928,90,C78,Q
170,247,0,3,"Lindahl, Miss. Agda Thorilda Viktoria",female,25,0,0,347071,7.775,,S
171,248,1,2,"Hamalainen, Mrs. William (Anna)",female,24,0,2,250649,14.5,,S
172,249,1,1,"Beckwith, Mr. Richard Leonard",male,37,1,1,11751,52.5542,D35,S
173,250,0,2,"Carter, Rev. Ernest Courtenay",male,54,1,0,244252,26,,S
174,251,0,3,"Reed, Mr. James George",male,,0,0,362316,7.25,,S
175,252,0,3,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",female,29,1,1,347054,10.4625,G6,S
176,253,0,1,"Stead, Mr. William Thomas",male,62,0,0,113514,26.55,C87,S
177,254,0,3,"Lobb, Mr. William Arthur",male,30,1,0,A/5. 3336,16.1,,S
178,256,1,3,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,29,0,2,2650,15.2458,,C
179,257,1,1,"Thorne, Mrs. Gertrude Maybelle",female,,0,0,PC 17585,79.2,,C
180,258,1,1,"Cherry, Miss. Gladys",female,30,0,0,110152,86.5,B77,S
181,259,1,1,"Ward, Miss. Anna",female,35,0,0,PC 17755,512.3292,,C
182,260,1,2,"Parrish, Mrs. (Lutie Davis)",female,50,0,1,230433,26,,S
183,262,1,3,"Asplund, Master. Edvin Rojj Felix",male,3,4,2,347077,31.3875,,S
184,264,0,1,"Harrison, Mr. William",male,40,0,0,112059,0,B94,S
185,267,0,3,"Panula, Mr. Ernesti Arvid",male,16,4,1,3101295,39.6875,,S
186,268,1,3,"Persson, Mr. Ernst Ulrik",male,25,1,0,347083,7.775,,S
187,269,1,1,"Graham, Mrs. William Thompson (Edith Junkins)",female,58,0,1,PC 17582,153.4625,C125,S
188,270,1,1,"Bissette, Miss. Amelia",female,35,0,0,PC 17760,135.6333,C99,S
189,271,0,1,"Cairns, Mr. Alexander",male,,0,0,113798,31,,S
190,272,1,3,"Tornquist, Mr. William Henry",male,25,0,0,LINE,0,,S
191,274,0,1,"Natsch, Mr. Charles H",male,37,0,1,PC 17596,29.7,C118,C
192,275,1,3,"Healy, Miss. Hanora ""Nora""",female,,0,0,370375,7.75,,Q
193,276,1,1,"Andrews, Miss. Kornelia Theodosia",female,63,1,0,13502,77.9583,D7,S
194,277,0,3,"Lindblom, Miss. Augusta Charlotta",female,45,0,0,347073,7.75,,S
195,279,0,3,"Rice, Master. Eric",male,7,4,1,382652,29.125,,Q
196,280,1,3,"Abbott, Mrs. Stanton (Rosa Hunt)",female,35,1,1,C.A. 2673,20.25,,S
197,281,0,3,"Duane, Mr. Frank",male,65,0,0,336439,7.75,,Q
198,283,0,3,"de Pelsmaeker, Mr. Alfons",male,16,0,0,345778,9.5,,S
199,284,1,3,"Dorking, Mr. Edward Arthur",male,19,0,0,A/5. 10482,8.05,,S
200,285,0,1,"Smith, Mr. Richard William",male,,0,0,113056,26,A19,S
201,286,0,3,"Stankovic, Mr. Ivan",male,33,0,0,349239,8.6625,,C
202,287,1,3,"de Mulder, Mr. Theodore",male,30,0,0,345774,9.5,,S
203,288,0,3,"Naidenoff, Mr. Penko",male,22,0,0,349206,7.8958,,S
204,289,1,2,"Hosono, Mr. Masabumi",male,42,0,0,237798,13,,S
205,292,1,1,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19,1,0,11967,91.0792,B49,C
206,293,0,2,"Levy, Mr. Rene Jacques",male,36,0,0,SC/Paris 2163,12.875,D,C
207,294,0,3,"Haas, Miss. Aloisia",female,24,0,0,349236,8.85,,S
208,295,0,3,"Mineff, Mr. Ivan",male,24,0,0,349233,7.8958,,S
209,297,0,3,"Hanna, Mr. Mansour",male,23.5,0,0,2693,7.2292,,C
210,298,0,1,"Allison, Miss. Helen Loraine",female,2,1,2,113781,151.55,C22 C26,S
211,299,1,1,"Saalfeld, Mr. Adolphe",male,,0,0,19988,30.5,C106,S
212,300,1,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,50,0,1,PC 17558,247.5208,B58 B60,C
213,301,1,3,"Kelly, Miss. Anna Katherine ""Annie Kate""",female,,0,0,9234,7.75,,Q
214,304,1,2,"Keane, Miss. Nora A",female,,0,0,226593,12.35,E101,Q
215,305,0,3,"Williams, Mr. Howard Hugh ""Harry""",male,,0,0,A/5 2466,8.05,,S
216,306,1,1,"Allison, Master. Hudson Trevor",male,0.92,1,2,113781,151.55,C22 C26,S
217,308,1,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",female,17,1,0,PC 17758,108.9,C65,C
218,311,1,1,"Hays, Miss. Margaret Bechstein",female,24,0,0,11767,83.1583,C54,C
219,313,0,2,"Lahtinen, Mrs. William (Anna Sylfven)",female,26,1,1,250651,26,,S
220,314,0,3,"Hendekovic, Mr. Ignjac",male,28,0,0,349243,7.8958,,S
221,315,0,2,"Hart, Mr. Benjamin",male,43,1,1,F.C.C. 13529,26.25,,S
222,316,1,3,"Nilsson, Miss. Helmina Josefina",female,26,0,0,347470,7.8542,,S
223,318,0,2,"Moraweck, Dr. Ernest",male,54,0,0,29011,14,,S
224,319,1,1,"Wick, Miss. Mary Natalie",female,31,0,2,36928,164.8667,C7,S
225,320,1,1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",female,40,1,1,16966,134.5,E34,C
226,321,0,3,"Dennis, Mr. Samuel",male,22,0,0,A/5 21172,7.25,,S
227,322,0,3,"Danoff, Mr. Yoto",male,27,0,0,349219,7.8958,,S
228,323,1,2,"Slayter, Miss. Hilda Mary",female,30,0,0,234818,12.35,,Q
229,324,1,2,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",female,22,1,1,248738,29,,S
230,326,1,1,"Young, Miss. Marie Grice",female,36,0,0,PC 17760,135.6333,C32,C
231,327,0,3,"Nysveen, Mr. Johan Hansen",male,61,0,0,345364,6.2375,,S
232,328,1,2,"Ball, Mrs. (Ada E Hall)",female,36,0,0,28551,13,D,S
233,330,1,1,"Hippach, Miss. Jean Gertrude",female,16,0,1,111361,57.9792,B18,C
234,331,1,3,"McCoy, Miss. Agnes",female,,2,0,367226,23.25,,Q
235,332,0,1,"Partner, Mr. Austen",male,45.5,0,0,113043,28.5,C124,S
236,333,0,1,"Graham, Mr. George Edward",male,38,0,1,PC 17582,153.4625,C91,S
237,334,0,3,"Vander Planke, Mr. Leo Edmondus",male,16,2,0,345764,18,,S
238,337,0,1,"Pears, Mr. Thomas Clinton",male,29,1,0,113776,66.6,C2,S
239,338,1,1,"Burns, Miss. Elizabeth Margaret",female,41,0,0,16966,134.5,E40,C
240,339,1,3,"Dahl, Mr. Karl Edwart",male,45,0,0,7598,8.05,,S
241,340,0,1,"Blackwell, Mr. Stephen Weart",male,45,0,0,113784,35.5,T,S
242,341,1,2,"Navratil, Master. Edmond Roger",male,2,1,1,230080,26,F2,S
243,343,0,2,"Collander, Mr. Erik Gustaf",male,28,0,0,248740,13,,S
244,344,0,2,"Sedgwick, Mr. Charles Frederick Waddington",male,25,0,0,244361,13,,S
245,345,0,2,"Fox, Mr. Stanley Hubert",male,36,0,0,229236,13,,S
246,348,1,3,"Davison, Mrs. Thomas Henry (Mary E Finck)",female,,1,0,386525,16.1,,S
247,349,1,3,"Coutts, Master. William Loch ""William""",male,3,1,1,C.A. 37671,15.9,,S
248,350,0,3,"Dimic, Mr. Jovan",male,42,0,0,315088,8.6625,,S
249,351,0,3,"Odahl, Mr. Nils Martin",male,23,0,0,7267,9.225,,S
250,352,0,1,"Williams-Lambert, Mr. Fletcher Fellows",male,,0,0,113510,35,C128,S
251,354,0,3,"Arnold-Franchi, Mr. Josef",male,25,1,0,349237,17.8,,S
252,358,0,2,"Funk, Miss. Annie Clemmer",female,38,0,0,237671,13,,S
253,359,1,3,"McGovern, Miss. Mary",female,,0,0,330931,7.8792,,Q
